
REAPER (x64) (ReWire client mode)                            Microsoft.AutoGenerated.{0DB9BAA0-7962-BD0E-5D71-10728F83E3CD}                                                                        
Git Bash                                                     Microsoft.AutoGenerated.{0FDD9C6B-656B-0F1F-AB08-B1CDBB7067B3}                                                                        
REAPER (x64) (reset configuration to factory defaults)       Microsoft.AutoGenerated.{10A99C5B-35AB-4BD2-343A-4D5E08FAC32B}                                                                        
LAV Audio Configuration                                      Microsoft.AutoGenerated.{1BBC37D1-585E-51CC-DACB-2BAEFC7FD021}                                                                        
TortoiseGit                                                  Microsoft.AutoGenerated.{1D56C99A-ECD8-7C3D-32B6-5F79EA0EEB91}                                                                        
LAV Splitter Configuration                                   Microsoft.AutoGenerated.{208B81F3-2D81-5EB2-BBF5-F2DFE2DFDA51}                                                                        
x86 Native Tools Command Prompt for VS 2019                  Microsoft.AutoGenerated.{2654B675-D6DB-7D88-F6AB-DF25290F3579}                                                                        
Git CMD                                                      Microsoft.AutoGenerated.{29591C0F-7C09-B655-C0EB-8544FCA7D1DE}                                                                        
MySQL Installer - Community                                  Microsoft.AutoGenerated.{2C7C9013-A7FD-5C12-D811-939AFE2A3592}                                                                        
Windows Software Development Kit                             Microsoft.AutoGenerated.{3B6E7DF3-19A3-70DB-96F6-86E65A17E61C}                                                                        
Learning Lodge?                                              Microsoft.AutoGenerated.{3DF20308-CB3C-D63D-CAE1-D119F7E66578}                                                                        
REAPER (x64) (show audio configuration on startup)           Microsoft.AutoGenerated.{3FC912E1-70CC-EF1C-CF6A-45F46FCF3E8C}                                                                        
LAV Video Configuration                                      Microsoft.AutoGenerated.{475F1C74-240F-7BE2-5A8C-26C8D08E5946}                                                                        
Python 3.9 Manuals (64-bit)                                  Microsoft.AutoGenerated.{48B845B9-7231-A5FA-8641-7C6586F7AF60}                                                                        
Developer Command Prompt for VS 2019                         Microsoft.AutoGenerated.{4BEA08D7-78E4-19AC-6B39-FA0525BA34FB}                                                                        
Google Docs                                                  Microsoft.AutoGenerated.{4F320C6D-566B-A328-A366-1EC51BD74B62}                                                                        
yuzu                                                         Microsoft.AutoGenerated.{522941E8-C65B-9CA0-999F-DFCCFA33D202}                                                                        
Uninstall MuseScore                                          Microsoft.AutoGenerated.{593DF23B-6BEA-359D-5F5F-E982DB32C2DE}                                                                        
VLC media player skinned                                     Microsoft.AutoGenerated.{6DE1DBCE-B674-BE72-EDB2-3B301067274F}                                                                        
Python 3.10 Module Docs (64-bit)                             Microsoft.AutoGenerated.{77371032-087C-8CDD-5BCB-D553A56FF74C}                                                                        
Developer PowerShell for VS 2019                             Microsoft.AutoGenerated.{7E7691AF-4108-3EC0-3F1E-D1FF168C366F}                                                                        
Performance Monitor                                          Microsoft.AutoGenerated.{8AA47365-B2B3-1961-69EB-F866E376B12F}                                                                        
Computer Management                                          Microsoft.AutoGenerated.{8ABD94FB-E7D6-84A6-A997-C918EDDE0AE5}                                                                        
Settings                                                     Microsoft.AutoGenerated.{8E66BD49-EE30-5B64-E59D-4838E1A8063F}                                                                        
Task Manager                                                 Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}                                                                        
Uninstall                                                    Microsoft.AutoGenerated.{94331AE1-D7EF-C7CE-D105-5595DA181475}                                                                        
Debuggable Package Manager                                   Microsoft.AutoGenerated.{96690F80-0B7F-841E-E0DB-CC38AC5C839F}                                                                        
Help                                                         Microsoft.AutoGenerated.{98FEBB2C-01AB-4A97-FCA1-9B74D52A119E}                                                                        
x64 Native Tools Command Prompt for VS 2019                  Microsoft.AutoGenerated.{9B365F59-89F1-E362-DB92-31582A7073AD}                                                                        
About Java                                                   Microsoft.AutoGenerated.{9F4F65B3-CD17-CDC7-508A-C13D4D078C02}                                                                        
IDLE (Python 3.10 64-bit)                                    Microsoft.AutoGenerated.{A17C9151-AFB9-6AAB-0250-149A445DE84E}                                                                        
Adobe Application Manager                                    Microsoft.AutoGenerated.{A423D12B-D7B1-CAF2-3434-2DE0F642FF34}                                                                        
Google Slides                                                Microsoft.AutoGenerated.{A7FB06FF-C7BC-348A-F03A-1AB15C0664FB}                                                                        
Python 3.9 Module Docs (64-bit)                              Microsoft.AutoGenerated.{B1725EFB-A10F-C3EC-2622-58194CA9C7DE}                                                                        
MySQL 8.0 Command Line Client - Unicode                      Microsoft.AutoGenerated.{B6ECABB1-7A68-AC3C-1F61-8F8089041EDD}                                                                        
Event Viewer                                                 Microsoft.AutoGenerated.{BB044BFD-25B7-2FAA-22A8-6371A93E0456}                                                                        
Google Sheets                                                Microsoft.AutoGenerated.{BBD91EB3-B1EC-9260-5BB1-FAB2265F9FB5}                                                                        
Task Scheduler                                               Microsoft.AutoGenerated.{C1C6F8AC-40A3-0F5C-146F-65A9DC70BBB4}                                                                        
Check For Updates                                            Microsoft.AutoGenerated.{C3BF030E-BEDE-1122-5084-B50C65CFD2BC}                                                                        
Resource Monitor                                             Microsoft.AutoGenerated.{C804BBA7-FA5F-CBF7-8B55-2096E5F972CB}                                                                        
Uninstall Zoom                                               Microsoft.AutoGenerated.{D0CA3723-ED6C-D585-D525-84509274FE3C}                                                                        
x64_x86 Cross Tools Command Prompt for VS 2019               Microsoft.AutoGenerated.{D5D581AD-E767-6346-954A-F8B2930D39F1}                                                                        
Windows Speech Recognition                                   Microsoft.AutoGenerated.{DAA168DE-4306-C8BC-8C11-B596240BDDED}                                                                        
RawCapConv NoPreview                                         Microsoft.AutoGenerated.{DDF42C71-4FEA-9EEE-ADC6-9454420C902D}                                                                        
MySQL 8.0 Command Line Client                                Microsoft.AutoGenerated.{DF60CA8F-4884-F0EE-090A-264B39A0FD55}                                                                        
Grammarly                                                    Microsoft.AutoGenerated.{DFC33E75-168E-EA4D-8B6F-22D648E6365C}                                                                        
VLC media player - reset preferences and cache files         Microsoft.AutoGenerated.{E27158C0-1396-19FB-6F8D-93026F80EF0C}                                                                        
DBeaver                                                      Microsoft.AutoGenerated.{ED458F60-B1C5-5703-9E56-D5A2BFA2D603}                                                                        
Install movie codec                                          Microsoft.AutoGenerated.{F97138FB-D13B-9CE6-56DE-B1B209077459}                                                                        
IDLE (Python 3.9 64-bit)                                     Microsoft.AutoGenerated.{FA541FBF-0D56-5BC4-8360-48073CBB7543}                                                                        
OneDrive                                                     Microsoft.SkyDrive.Desktop                                                                                                            
Skype                                                        Microsoft.Skype.SkypeDesktop                                                                                                          
Visual Studio Installer                                      Microsoft.VisualStudio.Installer                                                                                                      
Visual Studio Code                                           Microsoft.VisualStudioCode                                                                                                            
Windows Tools                                                Microsoft.Windows.AdministrativeTools                                                                                                 
Control Panel                                                Microsoft.Windows.ControlPanel                                                                                                        
File Explorer                                                Microsoft.Windows.Explorer                                                                                                            
Windows Media Player Legacy                                  Microsoft.Windows.MediaPlayer32                                                                                                       
Remote Desktop Connection                                    Microsoft.Windows.RemoteDesktop                                                                                                       
Run                                                          Microsoft.Windows.Shell.RunDialog                                                                                                     
Microsoft Edge                                               MSEdge                                                                                                                                
Opera GX Browser                                             OperaSoftware.OperaGXWebBrowser.1609664151                                                                                            
AnyDesk                                                      prokzult ad                                                                                                                           
Bridge                                                       se.quixel.bridge                                                                                                                      
PuTTY                                                        SimonTatham.PuTTY                                                                                                                     
ULTRAKILL                                                    steam://rungameid/1229490                                                                                                             
Crab Game                                                    steam://rungameid/1782210                                                                                                             
Blender                                                      steam://rungameid/365670                                                                                                              
Spacewar                                                     steam://rungameid/480                                                                                                                 
Satisfactory                                                 steam://rungameid/526870                                                                                                              
Counter-Strike Global Offensive                              steam://rungameid/730                                                                                                                 
Telegram                                                     Telegram.TelegramDesktop                                                                                                              
Visual Studio 2019                                           VisualStudio.ddba895a                                                                                                                 
Zoom                                                         zoom.us.Zoom Video Meetings                                                                                                           
Application Verifier Help                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\appverif.chm                                                                                   
Application Verifier (X64)                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\appverif.exe                                                                                   
Character Map                                                {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\charmap.exe                                                                                    
Disk Cleanup                                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cleanmgr.exe                                                                                   
Command Prompt                                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe                                                                                        
Component Services                                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\comexp.msc                                                                                     
Defragment and Optimize Drives                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\dfrgui.exe                                                                                     
iSCSI Initiator                                              {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\iscsicpl.exe                                                                                   
Live captions                                                {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\LiveCaptions.exe                                                                               
Magnifier                                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\magnify.exe                                                                                    
Windows Memory Diagnostic                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe                                                                                    
System Configuration                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe                                                                                   
System Information                                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe                                                                                   
Narrator                                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe                                                                                   
ODBC Data Sources (64-bit)                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe                                                                                   
On-Screen Keyboard                                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe                                                                                        
Steps Recorder                                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe                                                                                        
Recovery Drive                                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe                                                                              
Services                                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc                                                                                   
Voice access                                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\voiceaccess.exe                                                                                
Windows Defender Firewall with Advanced Security             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc                                                                                         
Windows Fax and Scan                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WFS.exe                                                                                        
Windows PowerShell                                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe                                                          
Windows PowerShell ISE                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\PowerShell_ISE.exe                                                      
7-Zip Help                                                   {6D809377-6AF0-444B-8957-A3773F02200E}\7-Zip\7-zip.chm                                                                                
7-Zip File Manager                                           {6D809377-6AF0-444B-8957-A3773F02200E}\7-Zip\7zFM.exe                                                                                 
Adobe Acrobat                                                {6D809377-6AF0-444B-8957-A3773F02200E}\Adobe\Acrobat DC\Acrobat\Acrobat.exe                                                           
Adobe After Effects 2020                                     {6D809377-6AF0-444B-8957-A3773F02200E}\Adobe\Adobe After Effects 2020\Support Files\AfterFX.exe                                       
Adobe Media Encoder 2020                                     {6D809377-6AF0-444B-8957-A3773F02200E}\Adobe\Adobe Media Encoder 2020\Adobe Media Encoder.exe                                         
Adobe Photoshop 2020                                         {6D809377-6AF0-444B-8957-A3773F02200E}\Adobe\Adobe Photoshop 2020\Photoshop.exe                                                       
AnthemScore                                                  {6D809377-6AF0-444B-8957-A3773F02200E}\AnthemScore\AnthemScore.exe                                                                    
CCleaner                                                     {6D809377-6AF0-444B-8957-A3773F02200E}\CCleaner\CCleaner64.exe                                                                        
CLIP STUDIO                                                  {6D809377-6AF0-444B-8957-A3773F02200E}\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\CLIPStudio.exe                                              
Reset settings                                               {6D809377-6AF0-444B-8957-A3773F02200E}\Cheat Engine 7.2\ceregreset.exe                                                                
Cheat Engine                                                 {6D809377-6AF0-444B-8957-A3773F02200E}\Cheat Engine 7.2\Cheat Engine.exe                                                              
Cheat Engine (32-bit)                                        {6D809377-6AF0-444B-8957-A3773F02200E}\Cheat Engine 7.2\cheatengine-i386.exe                                                          
Cheat Engine (64-bit SSE4-AVX2)                              {6D809377-6AF0-444B-8957-A3773F02200E}\Cheat Engine 7.2\cheatengine-x86_64-SSE4-AVX2.exe                                              
Cheat Engine (64-bit)                                        {6D809377-6AF0-444B-8957-A3773F02200E}\Cheat Engine 7.2\cheatengine-x86_64.exe                                                        
Cheat Engine help                                            {6D809377-6AF0-444B-8957-A3773F02200E}\Cheat Engine 7.2\CheatEngine.chm                                                               
Unload kernel module                                         {6D809377-6AF0-444B-8957-A3773F02200E}\Cheat Engine 7.2\Kernelmoduleunloader.exe                                                      
Cheat Engine tutorial                                        {6D809377-6AF0-444B-8957-A3773F02200E}\Cheat Engine 7.2\Tutorial-i386.exe                                                             
Cheat Engine tutorial (64-bit)                               {6D809377-6AF0-444B-8957-A3773F02200E}\Cheat Engine 7.2\Tutorial-x86_64.exe                                                           
Uninstall Cheat Engine                                       {6D809377-6AF0-444B-8957-A3773F02200E}\Cheat Engine 7.2\unins000.exe                                                                  
Uninstall                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\DBeaver\Uninstall.exe                                                                          
Product Activation                                           {6D809377-6AF0-444B-8957-A3773F02200E}\FlashIntegro\VideoEditor\Activation.exe                                                        
License Agreement                                            {6D809377-6AF0-444B-8957-A3773F02200E}\FlashIntegro\VideoEditor\License Agreement.rtf                                                 
Readme                                                       {6D809377-6AF0-444B-8957-A3773F02200E}\FlashIntegro\VideoEditor\Readme.rtf                                                            
VSDC Free Screen Recorder                                    {6D809377-6AF0-444B-8957-A3773F02200E}\FlashIntegro\VideoEditor\Tools\ScreenRecorder.exe                                              
VSDC Free Video Capture                                      {6D809377-6AF0-444B-8957-A3773F02200E}\FlashIntegro\VideoEditor\Tools\VideoCapture.exe                                                
Product Updater                                              {6D809377-6AF0-444B-8957-A3773F02200E}\FlashIntegro\VideoEditor\Updater.exe                                                           
VSDC Free Video Editor Help                                  {6D809377-6AF0-444B-8957-A3773F02200E}\FlashIntegro\VideoEditor\VideoConverter.chm                                                    
VSDC Free Video Editor                                       {6D809377-6AF0-444B-8957-A3773F02200E}\FlashIntegro\VideoEditor\VideoEditor.exe                                                       
GIMP 2.10.30                                                 {6D809377-6AF0-444B-8957-A3773F02200E}\GIMP 2\bin\gimp-2.10.exe                                                                       
Git GUI                                                      {6D809377-6AF0-444B-8957-A3773F02200E}\Git\cmd\git-gui.exe                                                                            
Git Release Notes                                            {6D809377-6AF0-444B-8957-A3773F02200E}\Git\ReleaseNotes.html                                                                          
Google Drive                                                 {6D809377-6AF0-444B-8957-A3773F02200E}\Google\Drive File Stream\75.0.3.0\GoogleDriveFS.exe                                            
Backup and Sync from Google                                  {6D809377-6AF0-444B-8957-A3773F02200E}\Google\Drive\googledrivesync.exe                                                               
Greenshot                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\Greenshot\Greenshot.exe                                                                        
License.txt                                                  {6D809377-6AF0-444B-8957-A3773F02200E}\Greenshot\license.txt                                                                          
Readme.txt                                                   {6D809377-6AF0-444B-8957-A3773F02200E}\Greenshot\readme.txt                                                                           
Changelog                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\HxD\changelog.txt                                                                              
HxD                                                          {6D809377-6AF0-444B-8957-A3773F02200E}\HxD\HxD.exe                                                                                    
License                                                      {6D809377-6AF0-444B-8957-A3773F02200E}\HxD\license.txt                                                                                
Readme                                                       {6D809377-6AF0-444B-8957-A3773F02200E}\HxD\readme.txt                                                                                 
Configure Java                                               {6D809377-6AF0-444B-8957-A3773F02200E}\Java\jre1.8.0_251\bin\javacpl.exe                                                              
Kite                                                         {6D809377-6AF0-444B-8957-A3773F02200E}\Kite\kited.exe                                                                                 
LMMS                                                         {6D809377-6AF0-444B-8957-A3773F02200E}\LMMS\lmms.exe                                                                                  
Team Render Client R21                                       {6D809377-6AF0-444B-8957-A3773F02200E}\Maxon Cinema 4D R21\Cinema 4D Team Render Client.exe                                           
Team Render Server R21                                       {6D809377-6AF0-444B-8957-A3773F02200E}\Maxon Cinema 4D R21\Cinema 4D Team Render Server.exe                                           
Maxon Cinema 4D R21                                          {6D809377-6AF0-444B-8957-A3773F02200E}\Maxon Cinema 4D R21\Cinema 4D.exe                                                              
Commandline R21                                              {6D809377-6AF0-444B-8957-A3773F02200E}\Maxon Cinema 4D R21\Commandline.exe                                                            
Microsoft Silverlight                                        {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Silverlight\5.1.50918.0\Silverlight.Configuration.exe                                
SQL Server 2019 Import and Export Data (64-bit)              {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\150\DTS\Binn\DTSWizard.exe                                                
SQL Server 2019 Master Data Services Configuration Manager   {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\150\Master Data Services\Configuration\MDSConfigTool.exe                  
SQL Server 2019 Installation Center (64-bit)                 {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\150\Setup Bootstrap\SQL2019\x64\LandingPage.exe                           
SQL Server 2019 Error and Usage Reporting                    {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\150\Shared\SqlWtsn.exe                                                    
SQL Server 2019 Data Quality Server Installer                {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\MSSQL15.SAUSQLSERVER\MSSQL\Binn\DQSInstaller.exe                          
MuseScore 3                                                  {6D809377-6AF0-444B-8957-A3773F02200E}\MuseScore 3\bin\MuseScore3.exe                                                                 
MySQL Shell                                                  {6D809377-6AF0-444B-8957-A3773F02200E}\MySQL\MySQL Shell 8.0\bin\mysqlsh.exe                                                          
MySQL Workbench 8.0 CE                                       {6D809377-6AF0-444B-8957-A3773F02200E}\MySQL\MySQL Workbench 8.0\MySQLWorkbench.exe                                                   
Notepad++                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\Notepad++\notepad++.exe                                                                        
GeForce Experience                                           {6D809377-6AF0-444B-8957-A3773F02200E}\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA GeForce Experience.exe                     
OpenBoard                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\OpenBoard\OpenBoard.exe                                                                        
Uninstall OpenBoard                                          {6D809377-6AF0-444B-8957-A3773F02200E}\OpenBoard\unins000.exe                                                                         
OpenShot Video Editor                                        {6D809377-6AF0-444B-8957-A3773F02200E}\OpenShot Video Editor\openshot-qt.exe                                                          
User manual (PDF, English)                                   {6D809377-6AF0-444B-8957-A3773F02200E}\Oracle\VirtualBox\doc\UserManual.pdf                                                           
License (English)                                            {6D809377-6AF0-444B-8957-A3773F02200E}\Oracle\VirtualBox\License_en_US.rtf                                                            
User manual (CHM, English)                                   {6D809377-6AF0-444B-8957-A3773F02200E}\Oracle\VirtualBox\VirtualBox.chm                                                               
Oracle VM VirtualBox                                         {6D809377-6AF0-444B-8957-A3773F02200E}\Oracle\VirtualBox\VirtualBox.exe                                                               
PureRef                                                      {6D809377-6AF0-444B-8957-A3773F02200E}\PureRef\PureRef.exe                                                                            
Uninstall                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\PureRef\uninstall.exe                                                                          
Pageant                                                      {6D809377-6AF0-444B-8957-A3773F02200E}\PuTTY\pageant.exe                                                                              
PSFTP                                                        {6D809377-6AF0-444B-8957-A3773F02200E}\PuTTY\psftp.exe                                                                                
PuTTY Manual                                                 {6D809377-6AF0-444B-8957-A3773F02200E}\PuTTY\putty.chm                                                                                
PuTTYgen                                                     {6D809377-6AF0-444B-8957-A3773F02200E}\PuTTY\puttygen.exe                                                                             
PuTTY Web Site                                               {6D809377-6AF0-444B-8957-A3773F02200E}\PuTTY\website.url                                                                              
License                                                      {6D809377-6AF0-444B-8957-A3773F02200E}\RapidTyping 5\License.txt                                                                      
Help                                                         {6D809377-6AF0-444B-8957-A3773F02200E}\RapidTyping 5\RapidTyping.chm                                                                  
RapidTyping 5                                                {6D809377-6AF0-444B-8957-A3773F02200E}\RapidTyping 5\RapidTyping.exe                                                                  
Readme                                                       {6D809377-6AF0-444B-8957-A3773F02200E}\RapidTyping 5\Readme.txt                                                                       
REAPER EULA                                                  {6D809377-6AF0-444B-8957-A3773F02200E}\REAPER (x64)\EULA.txt                                                                          
ReaMote Server (x64)                                         {6D809377-6AF0-444B-8957-A3773F02200E}\REAPER (x64)\reamote.exe                                                                       
REAPER (x64)                                                 {6D809377-6AF0-444B-8957-A3773F02200E}\REAPER (x64)\reaper.exe                                                                        
Uninstall REAPER (x64)                                       {6D809377-6AF0-444B-8957-A3773F02200E}\REAPER (x64)\Uninstall.exe                                                                     
Whatsnew.txt                                                 {6D809377-6AF0-444B-8957-A3773F02200E}\REAPER (x64)\whatsnew.txt                                                                      
Rockstar Games Launcher                                      {6D809377-6AF0-444B-8957-A3773F02200E}\Rockstar Games\Launcher\LauncherPatcher.exe                                                    
Snap Camera                                                  {6D809377-6AF0-444B-8957-A3773F02200E}\Snap Inc\Snap Camera\Snap Camera.exe                                                           
